time,n1,n2,n3,n4,n5,n6,n7
450,23.5,57.8,196.3,103,80.4,80.9,30.5
451,23.5,57.8,196.2,103.1,80.5,80.9,30.5
452,23.5,57.8,196,103.2,80.6,80.9,30.4
453,23.5,58,196.5,103.2,80.7,81.2,30.3
454,23.5,58.1,196.7,103.3,80.9,81.2,30.3
455,23.5,58.2,197,103.4,81,81.4,30.3
456,23.6,58.3,196.9,103.5,81.2,81.4,30.2
457,23.6,58.4,196.7,103.6,81.3,81.7,30.3
458,23.6,58.5,197.4,103.8,81.4,81.8,30.5
459,23.6,58.6,197.5,103.9,81.5,82,30.5
460,23.6,58.7,197.7,104,81.7,82.2,30.4
461,23.6,58.8,197.9,104.1,81.8,82.3,30.5
462,23.6,58.9,198.2,104.3,81.9,82.4,30.6
463,23.6,59,198.1,104.3,82,82.6,30.6
464,23.6,59.1,198.2,104.4,82.1,82.6,30.5
465,23.6,59.2,198.3,104.6,82.2,82.8,30.4
466,23.6,59.2,198.7,104.7,82.4,82.9,30.4
467,23.5,59.3,199,104.8,82.4,83,30.3
468,23.6,59.4,199,104.9,82.5,83.2,30.3
469,23.6,59.5,199.2,105,82.6,83.3,30.3
470,23.5,59.6,199.3,105.1,82.7,83.4,30.3
471,23.6,59.7,199.4,105.2,82.8,83.6,30.3
472,23.5,59.8,199.5,105.3,82.9,83.8,30.3
473,23.5,59.9,199.7,105.4,83.1,83.9,30.5
474,23.5,60,200,105.5,83.2,84.1,30.6
475,23.4,60,200,105.6,83.4,84.2,30.6
476,23.4,60.1,200.1,105.8,83.5,84.3,30.6
477,23.4,60.3,200.3,105.8,83.7,84.4,30.6
478,23.4,60.3,200.6,105.9,83.8,84.6,30.8
479,23.5,60.5,200.8,106.1,84,84.7,30.8
480,23.5,60.6,200.9,106.2,84.1,84.9,31
481,23.5,60.8,201.1,106.3,84.3,85,31
482,23.5,60.8,201.3,106.4,84.4,85.3,31.1
483,23.5,60.9,201.6,106.6,84.6,85.4,31.1
